Ayah_number	sura name	chapter_number	meaning	content_ar	assudais	alafasy	almuaiqly	translation
1	Al-Fatiha--الفاتحة	1	The Opening	بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001001.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001001.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001001.mp3	In the name of Allah, Most Gracious, Most Merciful.
2	Al-Fatiha--الفاتحة	1	The Opening	الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001002.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001002.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001002.mp3	Praise be to Allah, the Cherisher and Sustainer of the worlds;
3	Al-Fatiha--الفاتحة	1	The Opening	الرَّحْمَٰنِ الرَّحِيمِ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001003.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001003.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001003.mp3	Most Gracious, Most Merciful;
4	Al-Fatiha--الفاتحة	1	The Opening	مَالِكِ يَوْمِ الدِّينِ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001004.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001004.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001004.mp3	Master of the Day of Judgment.
5	Al-Fatiha--الفاتحة	1	The Opening	إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001005.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001005.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001005.mp3	Thee do we worship, and Thine aid we seek.
6	Al-Fatiha--الفاتحة	1	The Opening	اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001006.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001006.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001006.mp3	Show us the straight way,
7	Al-Fatiha--الفاتحة	1	The Opening	صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/001007.mp3	http://www.everyayah.org/data/Alafasy_64kbps/001007.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/001007.mp3	The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.
1	Al-Baqara--البقرة	2	The Cow	بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002001.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002001.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002001.mp3	A. L. M.
2	Al-Baqara--البقرة	2	The Cow	ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002002.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002002.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002002.mp3	This is the Book; in it is guidance sure, without doubt, to those who fear Allah;
3	Al-Baqara--البقرة	2	The Cow	الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002003.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002003.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002003.mp3	Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;
4	Al-Baqara--البقرة	2	The Cow	وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002004.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002004.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002004.mp3	And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.
5	Al-Baqara--البقرة	2	The Cow	أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002005.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002005.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002005.mp3	They are on (true) guidance, from their Lord, and it is these who will prosper.
6	Al-Baqara--البقرة	2	The Cow	إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002006.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002006.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002006.mp3	As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.
7	Al-Baqara--البقرة	2	The Cow	خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002007.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002007.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002007.mp3	Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).
8	Al-Baqara--البقرة	2	The Cow	وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002008.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002008.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002008.mp3	"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe."
9	Al-Baqara--البقرة	2	The Cow	يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002009.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002009.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002009.mp3	Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!
10	Al-Baqara--البقرة	2	The Cow	فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002010.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002010.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002010.mp3	In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).
11	Al-Baqara--البقرة	2	The Cow	وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002011.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002011.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002011.mp3	"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!"""
12	Al-Baqara--البقرة	2	The Cow	أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002012.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002012.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002012.mp3	Of a surety, they are the ones who make mischief, but they realise (it) not.
13	Al-Baqara--البقرة	2	The Cow	وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002013.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002013.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002013.mp3	"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know."
14	Al-Baqara--البقرة	2	The Cow	وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002014.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002014.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002014.mp3	"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting."""
15	Al-Baqara--البقرة	2	The Cow	اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002015.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002015.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002015.mp3	Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).
16	Al-Baqara--البقرة	2	The Cow	أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002016.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002016.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002016.mp3	These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,
17	Al-Baqara--البقرة	2	The Cow	مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002017.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002017.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002017.mp3	Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.
18	Al-Baqara--البقرة	2	The Cow	صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002018.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002018.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002018.mp3	Deaf, dumb, and blind, they will not return (to the path).
19	Al-Baqara--البقرة	2	The Cow	أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002019.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002019.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002019.mp3	Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!
20	Al-Baqara--البقرة	2	The Cow	يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002020.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002020.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002020.mp3	The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.
21	Al-Baqara--البقرة	2	The Cow	يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002021.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002021.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002021.mp3	O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;
22	Al-Baqara--البقرة	2	The Cow	الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ	http://www.everyayah.org/data/Abdurrahmaan_As-Sudais_64kbps/002022.mp3	http://www.everyayah.org/data/Alafasy_64kbps/002022.mp3	http://www.everyayah.org/data/Maher_AlMuaiqly_64kbps/002022.mp3	Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).
